Token Number,Rates,length,index_in_dataset,occurrence_number,device
0,[],11212,170,1,
0,[],11934,142,1,
0,[],3071,118,1,
0,[],2426,72,1,
0,[],3551,21,1,
0,[],11812,95,1,
0,[],11852,51,1,
0,[],5837,40,1,
0,[],10874,98,1,
0,[],14936,104,1,
0,[],5595,178,1,
0,[],11635,41,1,
0,[],8181,110,1,
0,[],5914,6,1,
0,[],1796,131,1,
0,[],1815,54,1,
0,[],9865,4,1,
0,[],8200,141,1,
0,[],8210,56,1,
0,[],10843,100,1,
0,[],8594,158,1,
0,[],13606,26,1,
0,[],8661,13,1,
0,[],10878,171,1,
0,[],6509,98,1,
0,[],3768,15,1,
0,[],3708,61,1,
0,[],7662,47,1,
0,[],9811,32,1,
0,[],7836,30,1,
0,[],11976,112,1,
0,[],5903,27,1,
0,[],5722,67,1,
0,[],3835,0,1,
0,[],1799,156,1,
0,[],6438,60,1,
0,[],8158,88,1,
0,[],12150,64,1,
0,[],12082,100,1,
0,[],11738,128,1,
0,[],7563,135,1,
0,[],10261,62,1,
0,[],12338,138,1,
0,[],9104,170,1,
0,[],7675,162,1,
0,[],7877,8,1,
0,[],12183,156,1,
0,[],11852,14,1,
0,[],1987,166,1,
0,[],8315,40,1,
0,[],4698,123,1,
0,[],9952,79,1,
0,[],12812,16,1,
0,[],6183,146,1,
0,[],1145,36,1,
0,[],2643,7,1,
0,[],3226,12,1,
0,[],13333,95,1,
0,[],7926,51,1,
0,[],1495,164,1,
0,[],5667,190,1,
0,[],3073,165,1,
0,[],11546,103,1,
0,[],10511,69,1,
0,[],11494,1,1,
0,[],1798,17,1,
0,[],8104,161,1,
0,[],11577,43,1,
0,[],11460,190,1,
0,[],11792,109,1,
0,[],9614,59,1,
0,[],11463,105,1,
0,[],5187,53,1,
0,[],11051,49,1,
0,[],7327,5,1,
0,[],6674,80,1,
0,[],11525,1,1,
0,[],9385,34,1,
0,[],6961,13,1,
0,[],15148,63,1,
0,[],5264,41,1,
0,[],9517,139,1,
0,[],12308,91,1,
0,[],8183,64,1,
0,[],10635,52,1,
0,[],9011,145,1,
0,[],8577,115,1,
0,[],10681,88,1,
0,[],9471,73,1,
0,[],11183,166,1,
0,[],1762,193,1,
0,[],6167,128,1,
0,[],11365,134,1,
0,[],15536,106,1,
0,[],4383,183,1,
0,[],1412,119,1,
0,[],4642,43,1,
0,[],6222,54,1,
0,[],3291,50,1,
0,[],10063,174,1,
0,[],11053,189,1,
0,[],10461,169,1,
0,[],6717,48,1,
0,[],11456,58,1,
0,[],6687,197,1,
0,[],5636,187,1,
0,[],5423,144,1,
0,[],15481,35,1,
0,[],4796,52,1,
0,[],9946,21,1,
0,[],3711,113,1,
0,[],7355,160,1,
0,[],6508,76,1,
0,[],3506,191,1,
16354,[0.485714286.],11891,84,2,cpu
0,[],5506,143,1,
0,[],6669,93,1,
0,[],5247,108,1,
0,[],11723,149,1,
0,[],8924,57,1,
0,[],9597,130,1,
0,[],10206,151,1,
11778,[0.371428571.],8062,176,2,cpu
0,[],13838,159,1,
0,[],12402,99,1,
0,[],11061,87,1,
0,[],11860,172,1,
0,[],2253,130,1,
0,[],3405,14,1,
0,[],1968,199,1,
14466,[0.485714286.],10490,76,2,disk
0,[],4266,121,1,
16432,[0.485714286.],11567,93,2,cpu
0,[],3539,126,2,
0,[],6763,188,1,
0,[],8020,20,1,
0,[],11550,71,1,
0,[],12353,106,1,
0,[],7850,70,1,
0,[],10616,148,1,
14756,[0.371428571.],10189,161,2,cpu
9610,[0.371428571.],6780,9,2,cpu
0,[],8209,102,1,
12338,[0.371428571.],8906,195,2,cpu
11409,[0.485714286.],8616,0,2,disk
7464,[0.371428571.],5435,66,2,cpu
0,[],1271,71,2,
14017,[0.371428571.],9854,25,2,cpu
15168,[0.371428571.],10112,196,2,cpu
10316,[0.371428571.],7102,181,2,cpu
12092,[0.485714286.],8515,42,2,disk
8989,[0.485714286.],6601,72,2,disk
10996,[0.485714286.],7865,94,2,disk
14123,[0.485714286.],8995,132,2,disk
19766,[0.371428571.],14082,55,2,cpu
11289,[0.485714286.],7336,148,2,disk
8867,[0.371428571.],5594,174,2,cpu
18055,[0.371428571.],12743,62,2,cpu
9132,[0.371428571.],6267,191,2,cpu
11427,[0.485714286.],6346,46,2,disk
7174,[0.371428571.],4817,61,2,cpu
0,[],2398,31,2,
20976,[0.371428571.],14732,129,2,cpu
7223,[0.485714286.],5091,193,2,disk
16163,[0.485714286.],11592,104,2,cpu
18384,[0.371428571.],12521,101,2,cpu
15938,[0.485714286.],11339,33,2,cpu
14381,[0.485714286.],10766,113,2,disk
0,[],3766,22,2,
15699,[0.485714286.],11344,39,2,cpu
20116,[0.371428571.],14345,10,2,cpu
0,[],2125,138,2,
7809,[0.371428571.],5301,80,2,cpu
12484,[0.371428571.],8720,23,2,cpu
15528,[0.485714286.],11526,124,2,disk
14690,[0.485714286.],11314,82,2,disk
9348,[0.485714286.],6361,25,2,disk
16422,[0.485714286.],11849,57,2,cpu
13507,[0.485714286.],9537,55,2,disk
14291,[0.485714286.],10355,172,2,disk
12272,[0.371428571.],8488,142,2,cpu
13394,[0.485714286.],7658,140,2,disk
16408,[0.485714286.],11419,173,2,cpu
16691,[0.371428571.],11787,32,2,cpu
14417,[0.371428571.],9983,180,2,cpu
15487,[0.485714286.],10479,77,2,disk
8804,[0.485714286.],6021,9,2,disk
8284,[0.371428571.],5611,182,2,cpu
16243,[0.485714286.],11179,152,2,cpu
9987,[0.371428571.],7098,68,2,cpu
10969,[0.485714286.],7725,158,2,disk
7255,[0.371428571.],5148,78,2,cpu
15434,[0.371428571.],10826,47,2,cpu
9325,[0.371428571.],6329,46,2,cpu
14470,[0.485714286.],10275,31,2,disk
12299,[0.371428571.],8477,185,2,cpu
0,[],2165,169,2,
7277,[0.371428571.],4905,152,2,cpu
12299,[0.485714286.],8651,15,2,disk
17848,[0.371428571.],11541,121,2,cpu
15995,[0.371428571.],11106,194,2,cpu
14305,[0.485714286.],10232,56,2,disk
0,[],3326,114,2,
12216,[0.485714286.],8751,73,2,disk
13583,[0.485714286.],9716,70,2,disk
0,[],3945,78,2,
14672,[0.485714286.],10034,5,2,disk
15513,[0.485714286.],11185,19,2,disk
11242,[0.371428571.],7701,114,2,cpu
16069,[0.485714286.],10664,141,2,cpu
