Token Number,Rates,length,index_in_dataset,occurrence_number
10166,[0.371428571.],6911,169,2
15082,[0.371428571.],10251,97,2
6487,[0.371428571.],4381,31,2
5172,[0.371428571.],3507,12,2
14607,[0.371428571.],9804,35,2
6468,[0.371428571.],4339,119,2
7100,[0.371428571.],4847,42,2
12400,[0.371428571.],8435,189,2
0,[],1703,90,2
0,[],2027,136,2
14920,[0.371428571.],10130,51,2
14227,[0.371428571.],9769,127,2
11771,[0.371428571.],7949,162,2
0,[],1220,41,2
7586,[0.371428571.],5133,118,2
5960,[0.371428571.],3928,113,2
10307,[0.371428571.],6884,26,2
5131,[0.371428571.],3380,139,2
12952,[0.371428571.],8851,100,2
12735,[0.371428571.],8726,111,2
13128,[0.371428571.],8984,2,2
13736,[0.371428571.],9356,77,2
0,[],1644,46,2
8606,[0.371428571.],5775,187,2
14436,[0.371428571.],9825,191,2
0,[],2519,85,2
5550,[0.371428571.],3760,161,2
12994,[0.371428571.],8710,36,2
5597,[0.371428571.],3741,190,2
14556,[0.371428571.],9694,61,2
0,[],2223,22,2
14713,[0.371428571.],10032,141,2
11724,[0.371428571.],7940,101,2
13910,[0.371428571.],9366,33,2
9723,[0.371428571.],6582,11,2
0,[],1198,194,2
0,[],2904,159,2
16774,[0.485714286.],11372,6,2
13713,[0.371428571.],9214,27,2
7146,[0.371428571.],4873,120,2
9969,[0.371428571.],6749,4,2
6877,[0.371428571.],4686,32,2
0,[],3375,142,2
10590,[0.371428571.],7136,145,2
7003,[0.371428571.],4694,109,2
10429,[0.371428571.],6914,144,2
9919,[0.371428571.],6608,10,2
6161,[0.371428571.],4187,62,2
8501,[0.371428571.],5696,112,2
9827,[0.371428571.],6607,146,2
15565,[0.485714286.],10497,166,2
9542,[0.371428571.],6406,0,2
8313,[0.371428571.],5523,198,2
9393,[0.371428571.],6275,153,2
11041,[0.371428571.],7481,70,2
16049,[0.485714286.],11070,123,2
13165,[0.371428571.],9123,64,2
12192,[0.371428571.],8314,44,2
7923,[0.371428571.],5382,163,2
9536,[0.371428571.],6465,28,2
0,[],3209,40,2
7918,[0.371428571.],5308,108,2
0,[],1909,155,2
13265,[0.371428571.],8932,156,2
0,[],3276,25,2
7038,[0.371428571.],4803,23,2
0,[],2858,184,2
10430,[0.371428571.],7032,147,2
16706,[0.485714286.],11405,81,2
0,[],2756,39,2
5488,[0.371428571.],3617,168,2
7335,[0.371428571.],4912,47,2
11739,[0.371428571.],7781,94,2
10503,[0.371428571.],7046,154,2
15356,[0.371428571.],10366,43,2
5288,[0.371428571.],3425,138,2
8433,[0.371428571.],5623,3,2
9349,[0.371428571.],6247,105,2
12740,[0.371428571.],8653,53,2
12562,[0.371428571.],8528,133,2
14723,[0.371428571.],10071,180,2
16175,[0.485714286.],10898,178,2
11810,[0.371428571.],7941,185,2
11672,[0.371428571.],7924,49,2
7246,[0.371428571.],4927,80,2
0,[],1404,34,2
16636,[0.485714286.],11240,7,2
5753,[0.371428571.],3916,110,2
9357,[0.371428571.],6376,91,2
6231,[0.371428571.],4173,83,2
12946,[0.371428571.],8885,176,2
0,[],2757,181,2
12117,[0.371428571.],8345,89,2
11618,[0.371428571.],7689,8,2
13070,[0.371428571.],8785,13,2
15984,[0.485714286.],10777,59,2
0,[],1985,171,2
9414,[0.371428571.],6253,131,2
0,[],2154,17,2
0,[],2110,72,2
0,[],2808,175,2
9666,[0.371428571.],6422,134,2
11263,[0.371428571.],7511,167,2
6043,[0.371428571.],3938,183,2
8511,[0.371428571.],5874,63,2
0,[],2483,54,2
8214,[0.371428571.],5587,107,2
