Token Number,Rates,length,index_in_dataset,occurrence_number,device
0,[],2858,184,1,
15711,[0.371428571.],11172,193,2,disk
0,[],2045,87,1,
17016,[0.371428571.],12805,148,2,disk
15406,[0.371428571.],11315,104,2,disk
0,[],7949,162,1,
12581,[0.371428571.],9188,46,2,disk
15392,[0.371428571.],11299,113,2,disk
0,[],3229,164,1,
6077,[0.371428571.],4187,174,2,disk
0,[],8191,154,1,
0,[],13869,136,1,
0,[],8653,53,1,
10551,[0.371428571.],7165,55,2,disk
0,[],6381,197,1,
0,[],6036,199,1,
13047,[0.371428571.],9368,22,2,disk
0,[],5492,192,1,
11312,[0.371428571.],8187,9,2,disk
12775,[0.371428571.],10199,57,2,disk
16209,[0.371428571.],12340,39,2,disk
0,[],12783,2,1,
0,[],6749,4,1,
26199,[0.371428571.],19654,77,2,disk
5288,[0.371428571.],3425,138,2,disk
4956,[0.371428571.],3375,142,2,disk
6877,[0.371428571.],4686,32,2,disk
13403,[0.371428571.],8554,25,2,disk
13066,[0.371428571.],10509,82,2,disk
0,[],12646,115,1,
13053,[0.371428571.],10497,55,2,disk
1830,[0.371428571.],1162,48,2,disk
8266,[0.371428571.],5571,78,2,disk
7038,[0.371428571.],4803,23,2,disk
11319,[0.371428571.],8192,173,2,disk
11319,[0.371428571.],8194,124,2,disk
0,[],1404,34,1,
25478,[0.371428571.],20282,172,2,disk
11810,[0.371428571.],7941,185,2,disk
0,[],9918,37,1,
15903,[0.371428571.],11887,15,2,disk
11382,[0.371428571.],7807,182,2,disk
0,[],6030,26,1,
5279,[0.371428571.],3236,56,2,disk
0,[],6029,120,1,
6676,[0.371428571.],4807,158,2,disk
7146,[0.371428571.],4873,120,2,disk
0,[],8341,157,1,
0,[],10898,178,1,
0,[],9481,24,1,
0,[],11057,160,1,
10143,[0.371428571.],6952,114,2,disk
0,[],1820,150,1,
0,[],14016,127,1,
0,[],3022,179,1,
5633,[0.371428571.],3984,152,2,disk
0,[],5993,74,1,
9226,[0.371428571.],6236,68,2,disk
0,[],7230,122,1,
15001,[0.371428571.],10231,173,2,disk
0,[],7337,29,1,
5207,[0.371428571.],3477,121,2,disk
