id,avg_ROUGEL,var_ROUGEL
0,0.7482993197278911,0.19005969734832714
1,1.0,0.0
10,1.0,0.0
100,0.6507936507936508,0.10052910052910055
101,0.8482556967130469,0.048207857364447756
102,0.9925925925925926,0.00016460905349794432
103,1.0,0.0
104,0.9473684210526315,0.008310249307479232
105,0.9425287356321839,0.009908838684106214
106,0.7257456056856398,0.15528662399901136
107,0.6994660564454614,0.12222053492102558
108,1.0,0.0
109,1.0,0.0
11,0.9393939393939394,0.011019283746556483
110,0.9945355191256832,8.958165367732708e-05
111,1.0,0.0
112,0.8878787878787878,0.031928374655647386
113,0.9841269841269842,0.0007558578987150375
114,0.9787234042553191,0.001358080579447712
115,0.8366013071895425,0.08009739843649881
116,1.0,0.0
117,1.0,0.0
118,0.8472222222222222,0.07002314814814818
119,1.0,0.0
12,1.0,0.0
120,0.6048676066824887,0.03211910535515682
121,1.0,0.0
122,0.9777777777777777,0.0014814814814814881
123,1.0,0.0
124,1.0,0.0
125,0.8279569892473119,0.08879639264654873
126,0.9533896212906728,0.0016294174939423358
127,0.7514270887389726,0.047327074977735584
128,0.7873015873015873,0.09524565381708242
129,1.0,0.0
13,0.8571428571428571,0.061224489795918366
130,0.7805495718774851,0.023219130440929252
131,0.6754604280736686,0.07954176340861346
132,0.6282312925170069,0.03912571150909344
133,1.0,0.0
134,0.6666666666666666,0.33333333333333337
135,1.0,0.0
136,0.8971291866028709,0.01978549025892267
137,0.954341226472374,0.0037040797254598782
138,1.0,0.0
139,0.8311444652908068,0.03863225960878456
14,0.6414496348353315,0.11159489465004865
140,0.7687400318979266,0.04561098265454852
141,0.9777777777777777,0.0014814814814814881
142,1.0,0.0
143,1.0,0.0
144,0.3892936331960722,0.1423267740240476
145,0.9563492063492064,0.005716175359032499
146,1.0,0.0
147,0.9425287356321839,0.009908838684106209
148,1.0,0.0
149,0.7388027562446168,0.06965908053958651
15,0.5588235294117647,0.17214532871972318
150,1.0,0.0
151,1.0,0.0
152,0.9067541700847689,0.021162287121487936
153,0.9666666666666667,0.0033333333333333357
154,0.8148148148148149,0.102880658436214
155,0.7287157287157288,0.18429814533710645
156,0.9382716049382717,0.01143118427069045
157,0.9555555555555556,0.005925925925925931
158,1.0,0.0
159,1.0,0.0
16,0.7264957264957265,0.12184966031119876
160,1.0,0.0
161,0.7286324786324787,0.0863056103440719
162,0.929954954954955,0.004583789870952041
163,0.8444444444444444,0.07259259259259258
164,1.0,0.0
165,1.0,0.0
166,0.7849858139713213,0.006478179707759989
167,0.9147286821705426,0.021813592933116997
168,0.7426447813544588,0.03204846227142601
169,0.8436911487758945,0.07329737091299861
17,1.0,0.0
170,0.9259259259259259,0.016460905349794244
171,1.0,0.0
172,1.0,0.0
173,0.7567567567567567,0.17750182615047483
174,1.0,0.0
175,0.528808766348533,0.17613776718706836
176,1.0,0.0
177,0.9503546099290779,0.007393994265882005
178,1.0,0.0
179,0.9704641350210971,0.0026171019601559514
18,1.0,0.0
180,0.8585858585858586,0.02969084787266606
181,1.0,0.0
182,0.8228571428571428,0.09413877551020407
183,0.8791666666666668,0.043802083333333346
184,1.0,0.0
185,1.0,0.0
186,0.7987654320987655,0.013667123914037464
187,1.0,0.0
188,1.0,0.0
189,0.8380850558327394,0.03766574087668435
19,0.9541666666666666,0.006302083333333328
190,1.0,0.0
191,0.7808857808857809,0.03913801815899719
192,0.8627450980392157,0.056516724336793514
193,1.0,0.0
194,0.6971763021076555,0.10456394035666722
195,0.9833333333333334,0.0008333333333333352
196,0.8194444444444443,0.0978009259259259
197,0.8652482269503546,0.05447412102006942
198,0.8809523809523809,0.04251700680272107
199,0.7477987421383648,0.051193781891539114
2,1.0,0.0
20,0.7976190476190476,0.12287414965986397
21,1.0,0.0
22,0.6666666666666666,0.33333333333333337
23,1.0,0.0
24,0.6666666666666666,0.33333333333333337
25,1.0,0.0
26,0.860812168173339,0.020668186341739583
27,0.7240003105831199,0.009053924062716604
28,0.8650793650793651,0.05461073318216174
29,0.7253813500023325,0.0014479627563934924
3,0.708523592085236,0.2206289137702161
30,0.8839506172839506,0.04040237768632829
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,0.5325718390804598,0.2029672568618708
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,0.7870370370370371,0.136059670781893
39,1.0,0.0
4,0.8817204301075269,0.041970169961845306
40,0.8333333333333334,0.046143250688705256
41,0.7857142857142857,0.06632653061224492
42,0.8533333333333334,0.06453333333333332
43,1.0,0.0
44,1.0,0.0
45,0.924155590781612,0.01567195068912473
46,0.9192030314142525,0.0071165369399263335
47,1.0,0.0
48,0.7257878997009432,0.058795139330441046
49,0.75,0.1875
5,0.8167989417989419,0.03818788317796251
50,0.7733587896670427,0.01531194038603145
51,0.8333333333333334,0.08333333333333334
52,0.7894736842105262,0.1329639889196676
53,1.0,0.0
54,0.9931972789115647,0.00013883104262112775
55,0.8527131782945737,0.06508022354425813
56,1.0,0.0
57,0.6400029708853238,0.09801818184466032
58,0.7229643765903307,0.10142941602082245
59,1.0,0.0
6,0.8253968253968255,0.09145880574452006
60,0.9770685579196217,0.00039552001073051636
61,1.0,0.0
62,1.0,0.0
63,1.0,0.0
64,1.0,0.0
65,0.956989247311828,0.0055497745404092975
66,1.0,0.0
67,0.9777777777777777,0.000370370370370373
68,1.0,0.0
69,0.6939022834545222,0.11882184112165096
7,1.0,0.0
70,1.0,0.0
71,0.9376637262763966,0.003477801950556774
72,0.9011494252873563,0.02931430836305986
73,1.0,0.0
74,0.7935088590826296,0.03650991193440681
75,0.7732732732732733,0.0686294402510619
76,1.0,0.0
77,0.989010989010989,0.000362275087549813
78,0.8562626262626263,0.015617661463115995
79,0.9888888888888889,0.00037037037037036775
8,0.9879518072289156,0.0004354768471476271
80,0.7642276422764228,0.16676581399960339
81,0.923076923076923,0.017751479289940825
82,0.755457308648798,0.04511214300564832
83,0.8366013071895425,0.08009739843649881
84,0.892018779342723,0.03497983204390664
85,0.9333333333333332,0.013333333333333327
86,0.8055555555555557,0.05613425925925924
87,0.7843137254901961,0.13956170703575546
88,1.0,0.0
89,0.8613812478774968,0.050884337967031526
9,0.7505827505827506,0.04676675306045934
90,1.0,0.0
91,0.9696969696969697,0.0027548209366391138
92,0.6666666666666666,0.1733333333333333
93,0.6689308355975023,0.08550563153976093
94,1.0,0.0
95,0.5374521072796935,0.06899618876704688
96,1.0,0.0
97,1.0,0.0
98,1.0,0.0
99,0.9617486338797815,0.004389501030189009
