id,avg_ROUGEL,var_ROUGEL
0,0.7482993197278911,0.1900596973483271
1,1.0,0.0
2,1.0,0.0
3,0.708523592085236,0.2206289137702161
4,0.8817204301075269,0.0419701699618453
5,0.8167989417989419,0.0381878831779625
6,0.8253968253968255,0.09145880574452
7,1.0,0.0
8,0.9879518072289156,0.0004354768471476
9,0.7505827505827506,0.0467667530604593
10,1.0,0.0
11,0.9393939393939394,0.0110192837465564
12,1.0,0.0
13,0.8571428571428571,0.0612244897959183
14,0.6414496348353315,0.1115948946500486
15,0.5588235294117647,0.1721453287197231
16,0.7264957264957265,0.1218496603111987
17,1.0,0.0
18,1.0,0.0
19,0.9541666666666666,0.0063020833333333
20,0.7976190476190476,0.1228741496598639
21,1.0,0.0
22,0.6666666666666666,0.3333333333333333
23,1.0,0.0
24,0.6666666666666666,0.3333333333333333
25,1.0,0.0
26,0.860812168173339,0.0206681863417395
27,0.7240003105831199,0.0090539240627166
28,0.8650793650793651,0.0546107331821617
29,0.7253813500023325,0.0014479627563934
30,0.8839506172839506,0.0404023776863282
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,0.5325718390804598,0.2029672568618708
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,0.7870370370370371,0.136059670781893
39,1.0,0.0
40,0.8333333333333334,0.0461432506887052
41,0.7857142857142857,0.0663265306122449
42,0.8533333333333334,0.0645333333333333
43,1.0,0.0
44,1.0,0.0
45,0.924155590781612,0.0156719506891247
46,0.9192030314142524,0.0071165369399263
47,1.0,0.0
48,0.7257878997009432,0.058795139330441
49,0.75,0.1875
50,0.7733587896670427,0.0153119403860314
51,0.8333333333333334,0.0833333333333333
52,0.7894736842105262,0.1329639889196676
53,1.0,0.0
54,0.9931972789115648,0.0001388310426211
55,0.8527131782945737,0.0650802235442581
56,1.0,0.0
57,0.6400029708853238,0.0980181818446603
58,0.7229643765903307,0.1014294160208224
59,1.0,0.0
60,0.9770685579196215,0.0003955200107305
61,1.0,0.0
62,1.0,0.0
63,1.0,0.0
64,1.0,0.0
65,0.956989247311828,0.0055497745404092
66,1.0,0.0
67,0.9777777777777776,0.0003703703703703
68,1.0,0.0
69,0.6939022834545222,0.1188218411216509
70,1.0,0.0
71,0.9376637262763966,0.0034778019505567
72,0.9011494252873564,0.0293143083630598
73,1.0,0.0
74,0.7935088590826296,0.0365099119344068
75,0.7732732732732733,0.0686294402510619
76,1.0,0.0
77,0.989010989010989,0.0003622750875498
78,0.8562626262626263,0.0156176614631159
79,0.9888888888888888,0.0003703703703703
80,0.7642276422764228,0.1667658139996033
81,0.923076923076923,0.0177514792899408
82,0.755457308648798,0.0451121430056483
83,0.8366013071895425,0.0800973984364988
84,0.892018779342723,0.0349798320439066
85,0.9333333333333332,0.0133333333333333
86,0.8055555555555557,0.0561342592592592
87,0.7843137254901961,0.1395617070357554
88,1.0,0.0
89,0.8613812478774968,0.0508843379670315
90,1.0,0.0
91,0.9696969696969696,0.0027548209366391
92,0.6666666666666666,0.1733333333333333
93,0.6689308355975023,0.0855056315397609
94,1.0,0.0
95,0.5374521072796935,0.0689961887670468
96,1.0,0.0
97,1.0,0.0
98,1.0,0.0
99,0.9617486338797816,0.004389501030189
100,0.6507936507936508,0.1005291005291005
101,0.8482556967130469,0.0482078573644477
102,0.9925925925925926,0.0001646090534979
103,1.0,0.0
104,0.9473684210526316,0.0083102493074792
105,0.942528735632184,0.0099088386841062
106,0.7257456056856398,0.1552866239990113
107,0.6994660564454614,0.1222205349210255
108,1.0,0.0
109,1.0,0.0
110,0.9945355191256832,8.958165367732708e-05
111,1.0,0.0
112,0.8878787878787878,0.0319283746556473
113,0.9841269841269842,0.000755857898715
114,0.9787234042553192,0.0013580805794477
115,0.8366013071895425,0.0800973984364988
116,1.0,0.0
117,1.0,0.0
118,0.8472222222222222,0.0700231481481481
119,1.0,0.0
120,0.6048676066824887,0.0321191053551568
121,1.0,0.0
122,0.9777777777777776,0.0014814814814814
123,1.0,0.0
124,1.0,0.0
125,0.8279569892473119,0.0887963926465487
126,0.9533896212906728,0.0016294174939423
127,0.7514270887389726,0.0473270749777355
128,0.7873015873015873,0.0952456538170824
129,1.0,0.0
130,0.7805495718774851,0.0232191304409292
131,0.6754604280736686,0.0795417634086134
132,0.6282312925170069,0.0391257115090934
133,1.0,0.0
134,0.6666666666666666,0.3333333333333333
135,1.0,0.0
136,0.8971291866028709,0.0197854902589226
137,0.954341226472374,0.0037040797254598
138,1.0,0.0
139,0.8311444652908068,0.0386322596087845
140,0.7687400318979266,0.0456109826545485
141,0.9777777777777776,0.0014814814814814
142,1.0,0.0
143,1.0,0.0
144,0.3892936331960722,0.1423267740240476
145,0.9563492063492064,0.0057161753590324
146,1.0,0.0
147,0.942528735632184,0.0099088386841062
148,1.0,0.0
149,0.7388027562446168,0.0696590805395865
150,1.0,0.0
151,1.0,0.0
152,0.9067541700847688,0.0211622871214879
153,0.9666666666666668,0.0033333333333333
154,0.8148148148148149,0.102880658436214
155,0.7287157287157288,0.1842981453371064
156,0.9382716049382716,0.0114311842706904
157,0.9555555555555556,0.0059259259259259
158,1.0,0.0
159,1.0,0.0
160,1.0,0.0
161,0.7286324786324787,0.0863056103440719
162,0.929954954954955,0.004583789870952
163,0.8444444444444444,0.0725925925925925
164,1.0,0.0
