prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
3050.0,100.0,0.905358076095581,3.017704963684082,4,1,1734382032.28611,1734382036.2091737
3050.0,100.0,0.9316761493682861,3.04359769821167,5,1,1734382040.3173354,1734382044.29261
3050.0,100.0,0.94480299949646,3.057861804962158,6,1,1734382048.342476,1734382052.3451414
3050.0,100.0,1.3399217128753662,3.9705169200897217,7,1,1734382036.3067,1734382041.6171389
3178.0,100.0,0.9665069580078125,4.55698561668396,7,2,1734382056.3698888,1734382061.8933816
3050.0,100.0,1.4968831539154053,3.988044261932373,8,1,1734382044.3361871,1734382049.8211148
3178.0,100.0,0.9872736930847168,3.0687129497528076,8,2,1734382064.354644,1734382068.4106312
3050.0,100.0,0.8952131271362305,3.014611005783081,9,1,1734382032.2979908,1734382036.207816
3178.0,100.0,1.5993411540985107,4.061221122741699,9,2,1734382052.3597271,1734382058.0202904
3306.0,100.0,1.0046603679656982,3.082087516784668,9,3,1734382072.386866,1734382076.4736147
3051.0,100.0,0.924445390701294,3.042412519454956,10,1,1734382040.3261847,1734382044.2930431
3179.0,100.0,0.982262134552002,4.483056545257568,10,2,1734382060.3464947,1734382065.8118138
3051.0,100.0,0.7120997905731201,2.807974338531494,11,1,1734382028.2694573,1734382031.7895322
3179.0,100.0,0.9380464553833008,3.0574753284454346,11,2,1734382048.3500497,1734382052.3455722
3307.0,100.0,0.9969851970672607,4.489445447921753,11,3,1734382068.3775632,1734382073.8639946
3051.0,100.0,1.3366732597351074,3.969083309173584,12,1,1734382036.3117049,1734382041.617462
3179.0,100.0,0.9601244926452637,4.554550647735596,12,2,1734382056.3778887,1734382061.892564
3307.0,100.0,1.0054421424865723,3.5367653369903564,12,3,1734382076.4115028,1734382080.9537113
3051.0,100.0,1.4907691478729248,3.988107919692993,13,1,1734382044.340632,1734382049.8195097
3179.0,100.0,0.9754431247711182,3.0672922134399414,13,2,1734382064.3681357,1734382068.4108715
3051.0,100.0,1.5912790298461914,4.061149597167969,14,1,1734382052.366195,1734382058.0186243
3179.0,100.0,0.9943323135375977,3.079165458679199,14,2,1734382072.3988934,1734382076.4723918
3051.0,100.0,1.3083868026733398,4.058913946151733,15,1,1734382060.4428365,1734382065.8101377
3051.0,100.0,1.3183977603912354,4.0668323040008545,16,1,1734382068.4770708,1734382073.8623016
3051.0,100.0,1.331935167312622,3.113535165786743,17,1,1734382076.507826,1734382080.9532971
