Token Number,Rates
9542,[0.485714286.]
2686,[]
0,[]
8433,[0.485714286.]
9969,[0.485714286.]
0,[]
0,[]
0,[]
0,[]
3122,[0.485714286.]
9919,[0.485714286.]
9723,[0.485714286.]
5172,[0.485714286.]
0,[]
11101,[0.485714286.]
9913,[0.485714286.]
4571,[0.485714286.]
3224,[0.485714286.]
0,[]
4828,[0.485714286.]
0,[]
0,[]
3352,[0.485714286.]
7038,[0.485714286.]
0,[]
4835,[0.485714286.]
10307,[0.485714286.]
0,[]
9536,[0.485714286.]
0,[]
5527,[0.485714286.]
6487,[0.485714286.]
6877,[0.485714286.]
0,[]
2118,[]
0,[]
0,[]
0,[]
12177,[0.371428571.]
4006,[0.485714286.]
4806,[0.485714286.]
1845,[]
7100,[0.485714286.]
0,[]
12192,[0.485714286.]
0,[]
2506,[]
7335,[0.485714286.]
1830,[]
0,[]
4081,[0.485714286.]
0,[]
0,[]
0,[]
3640,[0.485714286.]
10551,[0.485714286.]
0,[]
2149,[]
4755,[0.485714286.]
0,[]
3694,[0.485714286.]
0,[]
6161,[0.485714286.]
8511,[0.485714286.]
0,[]
0,[]
2517,[]
10008,[0.485714286.]
9226,[0.485714286.]
0,[]
11041,[0.485714286.]
9053,[0.485714286.]
3159,[0.485714286.]
8549,[0.485714286.]
9792,[0.485714286.]
4725,[0.485714286.]
0,[]
0,[]
8266,[0.485714286.]
0,[]
7246,[0.485714286.]
0,[]
6608,[0.485714286.]
6231,[0.485714286.]
0,[]
3818,[0.485714286.]
3320,[0.485714286.]
3249,[0.485714286.]
10481,[0.485714286.]
0,[]
2660,[]
9357,[0.485714286.]
0,[]
9245,[0.485714286.]
0,[]
0,[]
5927,[0.485714286.]
0,[]
2502,[]
10364,[0.485714286.]
0,[]
0,[]
10121,[0.485714286.]
3237,[0.485714286.]
3038,[]
9349,[0.485714286.]
5312,[0.485714286.]
8214,[0.485714286.]
7918,[0.485714286.]
7003,[0.485714286.]
5753,[0.485714286.]
0,[]
8501,[0.485714286.]
5960,[0.485714286.]
6222,[0.485714286.]
3369,[0.485714286.]
3385,[0.485714286.]
0,[]
7586,[0.485714286.]
6468,[0.485714286.]
7146,[0.485714286.]
5207,[0.485714286.]
10654,[0.485714286.]
0,[]
4991,[0.485714286.]
5839,[0.485714286.]
0,[]
0,[]
4549,[0.485714286.]
2054,[]
3494,[0.485714286.]
9414,[0.485714286.]
0,[]
0,[]
9666,[0.485714286.]
0,[]
2978,[]
2523,[]
5288,[0.485714286.]
5131,[0.485714286.]
0,[]
0,[]
4956,[0.485714286.]
5800,[0.485714286.]
10429,[0.485714286.]
10590,[0.485714286.]
9827,[0.485714286.]
10430,[0.485714286.]
0,[]
0,[]
2752,[]
10636,[0.485714286.]
0,[]
9393,[0.485714286.]
10503,[0.485714286.]
2942,[]
0,[]
12226,[0.485714286.]
7515,[0.485714286.]
4276,[0.485714286.]
0,[]
5550,[0.485714286.]
0,[]
7923,[0.485714286.]
0,[]
3029,[]
0,[]
11263,[0.485714286.]
5488,[0.485714286.]
10166,[0.485714286.]
0,[]
3003,[]
10759,[0.485714286.]
0,[]
6077,[0.485714286.]
4212,[0.485714286.]
0,[]
5338,[0.485714286.]
0,[]
4468,[0.485714286.]
0,[]
4229,[0.485714286.]
0,[]
6043,[0.485714286.]
4130,[0.485714286.]
0,[]
0,[]
8606,[0.485714286.]
5060,[0.485714286.]
0,[]
5597,[0.485714286.]
0,[]
8062,[0.485714286.]
8756,[0.485714286.]
1841,[]
0,[]
0,[]
0,[]
8313,[0.485714286.]
0,[]
