index,dataset,method
128,qmsum,streaming
135,qmsum,streaming
62,qmsum,streaming
138,qmsum,streaming
170,samsum,streaming
162,qmsum,streaming
8,qmsum,streaming
156,qmsum,streaming
14,qmsum,streaming
166,samsum,streaming
40,qmsum,streaming
123,samsum,streaming
79,samsum,streaming
16,samsum,streaming
146,samsum,streaming
36,samsum,streaming
7,samsum,streaming
12,samsum,streaming
95,samsum,streaming
51,samsum,streaming
164,samsum,streaming
190,samsum,streaming
165,samsum,streaming
103,samsum,streaming
69,samsum,kivi
1,samsum,streaming
17,samsum,streaming
161,qmsum,streaming
43,qmsum,streaming
190,qmsum,streaming
109,samsum,streaming
59,samsum,streaming
105,qmsum,streaming
53,qmsum,streaming
49,qmsum,streaming
5,samsum,streaming
80,qmsum,streaming
1,qmsum,streaming
34,qmsum,streaming
13,qmsum,streaming
63,samsum,streaming
41,samsum,streaming
139,samsum,streaming
91,qmsum,streaming
64,samsum,streaming
52,qmsum,streaming
145,samsum,streaming
115,samsum,streaming
88,qmsum,streaming
73,samsum,streaming
166,qmsum,streaming
193,samsum,streaming
128,samsum,streaming
134,qmsum,streaming
106,samsum,streaming
183,samsum,streaming
119,samsum,streaming
43,samsum,streaming
54,qmsum,streaming
50,qmsum,streaming
174,qmsum,streaming
189,qmsum,streaming
169,qmsum,streaming
48,qmsum,streaming
58,qmsum,streaming
197,samsum,streaming
187,qmsum,streaming
144,samsum,streaming
35,samsum,streaming
52,samsum,streaming
21,qmsum,streaming
113,samsum,streaming
160,qmsum,streaming
76,samsum,streaming
191,qmsum,streaming
143,samsum,streaming
93,samsum,streaming
108,samsum,streaming
149,qmsum,streaming
57,samsum,streaming
130,qmsum,streaming
151,qmsum,streaming
159,samsum,streaming
99,qmsum,streaming
87,qmsum,streaming
172,samsum,streaming
130,samsum,streaming
14,samsum,streaming
199,samsum,streaming
121,qmsum,streaming
188,qmsum,streaming
20,qmsum,streaming
71,qmsum,streaming
106,qmsum,streaming
70,samsum,streaming
148,samsum,streaming
102,qmsum,streaming
