Token Number,Rates
9542,[0.728571429.]
2686,[0.728571429.]
13128,[0.728571429.]
8433,[0.728571429.]
9969,[0.728571429.]
14296,[0.728571429.]
16774,[0.728571429.]
16636,[0.728571429.]
11618,[0.728571429.]
3122,[0.728571429.]
9919,[0.728571429.]
9723,[0.728571429.]
5172,[0.728571429.]
13070,[0.728571429.]
11101,[0.728571429.]
9913,[0.728571429.]
4571,[0.728571429.]
3224,[0.728571429.]
14458,[0.728571429.]
4828,[0.728571429.]
16267,[0.728571429.]
15915,[0.728571429.]
3352,[0.728571429.]
7038,[0.728571429.]
14003,[0.728571429.]
4835,[0.728571429.]
10307,[0.728571429.]
13713,[0.728571429.]
9536,[0.728571429.]
18085,[0.728571429.]
5527,[0.728571429.]
6487,[0.728571429.]
6877,[0.728571429.]
13910,[0.728571429.]
2118,[0.728571429.]
14607,[0.728571429.]
12994,[0.728571429.]
14733,[0.728571429.]
12177,[0.728571429.]
4006,[0.728571429.]
4806,[0.728571429.]
1845,[0.728571429.]
7100,[0.728571429.]
15356,[0.728571429.]
12192,[0.728571429.]
11632,[0.728571429.]
2506,[0.728571429.]
7335,[0.728571429.]
1830,[0.728571429.]
11672,[0.728571429.]
4081,[0.728571429.]
14920,[0.728571429.]
14043,[0.728571429.]
12740,[0.728571429.]
3640,[0.728571429.]
10551,[0.728571429.]
16525,[0.728571429.]
2149,[0.728571429.]
4755,[0.728571429.]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
2517,[0.728571429.]
0,[]
0,[]
1497,[0.728571429.]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
0,[]
