index,dataset,method
110,lcc_e,kivi
119,repobench-p_e,kivi
265,repobench-p_e,kivi
77,lcc_e,kivi
181,lcc_e,kivi
169,repobench-p_e,kivi
10,lcc_e,kivi
284,lcc_e,streaming
78,lcc_e,kivi
55,lcc_e,kivi
49,repobench-p_e,kivi
288,repobench-p_e,kivi
109,lcc_e,kivi
118,lcc_e,kivi
234,lcc_e,kivi
69,repobench-p_e,kivi
30,lcc_e,kivi
212,lcc_e,kivi
86,lcc_e,kivi
184,lcc_e,kivi
287,repobench-p_e,kivi
2,lcc_e,kivi
296,repobench-p_e,kivi
235,repobench-p_e,kivi
68,repobench-p_e,kivi
239,repobench-p_e,streaming
72,lcc_e,kivi
135,lcc_e,kivi
256,repobench-p_e,kivi
137,repobench-p_e,kivi
257,lcc_e,kivi
163,lcc_e,kivi
295,repobench-p_e,kivi
82,lcc_e,kivi
192,lcc_e,kivi
153,repobench-p_e,kivi
132,lcc_e,kivi
215,repobench-p_e,kivi
141,repobench-p_e,kivi
64,repobench-p_e,kivi
275,lcc_e,kivi
206,repobench-p_e,kivi
24,lcc_e,kivi
270,repobench-p_e,kivi
29,lcc_e,kivi
182,lcc_e,kivi
173,repobench-p_e,kivi
104,lcc_e,kivi
63,lcc_e,kivi
245,lcc_e,kivi
190,repobench-p_e,kivi
248,lcc_e,kivi
101,lcc_e,kivi
56,repobench-p_e,kivi
291,repobench-p_e,kivi
255,repobench-p_e,streaming
209,lcc_e,kivi
165,lcc_e,kivi
29,repobench-p_e,kivi
137,lcc_e,kivi
176,lcc_e,kivi
76,lcc_e,kivi
195,lcc_e,kivi
236,repobench-p_e,kivi
248,repobench-p_e,kivi
261,repobench-p_e,kivi
289,repobench-p_e,kivi
81,lcc_e,kivi
70,lcc_e,kivi
16,repobench-p_e,kivi
4,repobench-p_e,kivi
129,repobench-p_e,kivi
123,repobench-p_e,kivi
74,repobench-p_e,kivi
6,lcc_e,kivi
237,repobench-p_e,kivi
238,lcc_e,kivi
12,repobench-p_e,kivi
259,repobench-p_e,kivi
132,repobench-p_e,kivi
286,lcc_e,streaming
126,repobench-p_e,kivi
298,repobench-p_e,kivi
61,repobench-p_e,kivi
73,lcc_e,kivi
155,lcc_e,kivi
39,lcc_e,kivi
218,lcc_e,kivi
70,repobench-p_e,kivi
210,lcc_e,kivi
235,lcc_e,streaming
246,repobench-p_e,kivi
259,lcc_e,streaming
60,lcc_e,kivi
0,repobench-p_e,kivi
280,lcc_e,kivi
228,lcc_e,kivi
11,lcc_e,kivi
112,repobench-p_e,kivi
208,lcc_e,kivi
90,lcc_e,kivi
83,lcc_e,kivi
238,repobench-p_e,kivi
35,repobench-p_e,kivi
79,lcc_e,kivi
134,repobench-p_e,kivi
140,lcc_e,kivi
281,lcc_e,kivi
199,lcc_e,kivi
268,lcc_e,kivi
114,repobench-p_e,kivi
275,repobench-p_e,kivi
164,repobench-p_e,kivi
284,repobench-p_e,kivi
71,repobench-p_e,kivi
40,repobench-p_e,kivi
99,repobench-p_e,kivi
148,lcc_e,kivi
194,repobench-p_e,kivi
139,repobench-p_e,kivi
145,lcc_e,kivi
223,repobench-p_e,kivi
75,repobench-p_e,kivi
9,lcc_e,kivi
188,lcc_e,kivi
131,lcc_e,kivi
272,repobench-p_e,kivi
298,lcc_e,kivi
146,repobench-p_e,kivi
286,repobench-p_e,kivi
84,lcc_e,kivi
292,repobench-p_e,kivi
177,lcc_e,kivi
153,lcc_e,kivi
152,repobench-p_e,kivi
92,lcc_e,kivi
196,lcc_e,kivi
75,lcc_e,kivi
296,lcc_e,streaming
68,lcc_e,kivi
15,lcc_e,kivi
204,lcc_e,streaming
158,lcc_e,kivi
88,lcc_e,kivi
197,repobench-p_e,kivi
117,lcc_e,kivi
82,repobench-p_e,kivi
105,repobench-p_e,kivi
33,lcc_e,kivi
0,lcc_e,kivi
293,repobench-p_e,kivi
53,repobench-p_e,kivi
231,repobench-p_e,kivi
32,repobench-p_e,kivi
234,repobench-p_e,kivi
244,lcc_e,kivi
140,repobench-p_e,kivi
22,lcc_e,kivi
116,lcc_e,kivi
65,repobench-p_e,kivi
89,lcc_e,kivi
211,lcc_e,streaming
107,repobench-p_e,kivi
18,lcc_e,kivi
20,repobench-p_e,kivi
289,lcc_e,kivi
274,lcc_e,streaming
144,lcc_e,kivi
241,repobench-p_e,kivi
60,repobench-p_e,kivi
250,lcc_e,kivi
287,lcc_e,kivi
228,repobench-p_e,kivi
100,repobench-p_e,kivi
167,lcc_e,kivi
54,lcc_e,kivi
193,repobench-p_e,kivi
46,lcc_e,kivi
93,lcc_e,kivi
108,lcc_e,kivi
264,lcc_e,kivi
272,lcc_e,kivi
299,repobench-p_e,kivi
179,repobench-p_e,kivi
136,repobench-p_e,kivi
83,repobench-p_e,kivi
80,repobench-p_e,kivi
162,repobench-p_e,kivi
94,repobench-p_e,kivi
265,lcc_e,streaming
180,repobench-p_e,kivi
217,repobench-p_e,kivi
172,repobench-p_e,kivi
278,lcc_e,streaming
231,lcc_e,streaming
69,lcc_e,kivi
103,repobench-p_e,kivi
50,repobench-p_e,kivi
209,repobench-p_e,kivi
149,lcc_e,kivi
124,lcc_e,kivi
128,repobench-p_e,kivi
165,repobench-p_e,kivi
185,lcc_e,kivi
227,lcc_e,kivi
291,lcc_e,kivi
247,lcc_e,streaming
290,lcc_e,kivi
249,lcc_e,streaming
143,repobench-p_e,kivi
251,repobench-p_e,kivi
252,repobench-p_e,kivi
250,repobench-p_e,kivi
114,lcc_e,kivi
203,lcc_e,kivi
141,lcc_e,kivi
38,repobench-p_e,kivi
7,lcc_e,kivi
221,repobench-p_e,kivi
19,lcc_e,kivi
172,lcc_e,kivi
151,repobench-p_e,kivi
56,lcc_e,kivi
1,repobench-p_e,kivi
36,repobench-p_e,kivi
