index,dataset,method
114,repobench-p_e,streaming
275,repobench-p_e,streaming
164,repobench-p_e,streaming
284,repobench-p_e,streaming
71,repobench-p_e,streaming
40,repobench-p_e,streaming
99,repobench-p_e,streaming
148,lcc_e,streaming
194,repobench-p_e,streaming
139,repobench-p_e,streaming
145,lcc_e,streaming
223,repobench-p_e,streaming
75,repobench-p_e,streaming
9,lcc_e,streaming
188,lcc_e,streaming
131,lcc_e,streaming
272,repobench-p_e,streaming
298,lcc_e,streaming
146,repobench-p_e,streaming
286,repobench-p_e,streaming
84,lcc_e,kivi
292,repobench-p_e,streaming
177,lcc_e,streaming
153,lcc_e,streaming
152,repobench-p_e,streaming
92,lcc_e,kivi
196,lcc_e,streaming
75,lcc_e,kivi
296,lcc_e,streaming
68,lcc_e,kivi
15,lcc_e,streaming
204,lcc_e,streaming
158,lcc_e,streaming
88,lcc_e,streaming
197,repobench-p_e,streaming
117,lcc_e,streaming
82,repobench-p_e,streaming
105,repobench-p_e,streaming
33,lcc_e,kivi
0,lcc_e,kivi
293,repobench-p_e,streaming
53,repobench-p_e,streaming
231,repobench-p_e,streaming
32,repobench-p_e,streaming
234,repobench-p_e,streaming
244,lcc_e,streaming
140,repobench-p_e,streaming
22,lcc_e,streaming
116,lcc_e,streaming
65,repobench-p_e,streaming
89,lcc_e,kivi
211,lcc_e,streaming
107,repobench-p_e,streaming
18,lcc_e,kivi
20,repobench-p_e,streaming
289,lcc_e,streaming
274,lcc_e,streaming
144,lcc_e,streaming
241,repobench-p_e,streaming
60,repobench-p_e,streaming
250,lcc_e,streaming
287,lcc_e,streaming
228,repobench-p_e,streaming
100,repobench-p_e,streaming
167,lcc_e,streaming
54,lcc_e,kivi
193,repobench-p_e,streaming
46,lcc_e,kivi
93,lcc_e,kivi
108,lcc_e,streaming
264,lcc_e,streaming
272,lcc_e,streaming
299,repobench-p_e,streaming
179,repobench-p_e,streaming
136,repobench-p_e,streaming
83,repobench-p_e,streaming
80,repobench-p_e,streaming
162,repobench-p_e,streaming
94,repobench-p_e,streaming
265,lcc_e,streaming
180,repobench-p_e,streaming
217,repobench-p_e,streaming
172,repobench-p_e,streaming
278,lcc_e,streaming
231,lcc_e,streaming
69,lcc_e,streaming
103,repobench-p_e,streaming
50,repobench-p_e,streaming
209,repobench-p_e,streaming
149,lcc_e,streaming
124,lcc_e,streaming
128,repobench-p_e,streaming
165,repobench-p_e,streaming
185,lcc_e,streaming
227,lcc_e,streaming
291,lcc_e,streaming
247,lcc_e,streaming
290,lcc_e,streaming
249,lcc_e,streaming
143,repobench-p_e,streaming
251,repobench-p_e,streaming
252,repobench-p_e,streaming
250,repobench-p_e,streaming
114,lcc_e,streaming
203,lcc_e,streaming
141,lcc_e,streaming
38,repobench-p_e,streaming
7,lcc_e,kivi
221,repobench-p_e,streaming
19,lcc_e,streaming
172,lcc_e,streaming
151,repobench-p_e,streaming
56,lcc_e,streaming
1,repobench-p_e,streaming
36,repobench-p_e,streaming
22,repobench-p_e,streaming
150,repobench-p_e,streaming
10,repobench-p_e,streaming
44,repobench-p_e,streaming
49,lcc_e,streaming
25,lcc_e,kivi
142,repobench-p_e,streaming
220,lcc_e,streaming
183,repobench-p_e,streaming
240,repobench-p_e,streaming
42,lcc_e,streaming
261,lcc_e,streaming
116,repobench-p_e,streaming
108,repobench-p_e,streaming
277,lcc_e,streaming
269,repobench-p_e,streaming
81,repobench-p_e,streaming
111,repobench-p_e,streaming
154,lcc_e,streaming
126,lcc_e,streaming
9,repobench-p_e,streaming
219,repobench-p_e,streaming
145,repobench-p_e,streaming
174,lcc_e,streaming
31,lcc_e,kivi
113,lcc_e,streaming
257,repobench-p_e,streaming
23,lcc_e,kivi
173,lcc_e,streaming
66,lcc_e,streaming
57,lcc_e,streaming
222,lcc_e,streaming
21,repobench-p_e,streaming
17,lcc_e,streaming
299,lcc_e,streaming
5,repobench-p_e,streaming
255,lcc_e,streaming
273,repobench-p_e,streaming
190,lcc_e,streaming
18,repobench-p_e,streaming
227,repobench-p_e,streaming
271,lcc_e,streaming
180,lcc_e,streaming
94,lcc_e,streaming
31,repobench-p_e,streaming
28,repobench-p_e,streaming
11,repobench-p_e,streaming
5,lcc_e,streaming
98,repobench-p_e,streaming
45,lcc_e,streaming
276,repobench-p_e,streaming
168,repobench-p_e,streaming
16,lcc_e,streaming
279,repobench-p_e,streaming
48,lcc_e,streaming
187,repobench-p_e,streaming
62,repobench-p_e,streaming
138,repobench-p_e,streaming
3,lcc_e,kivi
186,repobench-p_e,streaming
133,repobench-p_e,streaming
2,repobench-p_e,streaming
225,lcc_e,streaming
26,lcc_e,kivi
124,repobench-p_e,streaming
263,lcc_e,streaming
229,lcc_e,streaming
50,lcc_e,kivi
214,repobench-p_e,streaming
37,lcc_e,streaming
175,lcc_e,streaming
237,lcc_e,streaming
274,repobench-p_e,streaming
157,lcc_e,streaming
57,repobench-p_e,streaming
