Token Number,Rates,length,index_in_dataset,occurrence_number,device,ttft,ROUGEL
0,[],6963,110,1,,2.680164162069559,1.0
0,[],5226,119,1,,1.8729200791567564,1.0
0,[],11315,265,1,,3.419528615195304,1.0
0,[],888,77,1,,0.2999588400125503,1.0
0,[],7132,181,1,,1.7617194131016731,1.0
0,[],4554,169,1,,1.1627020318992436,1.0
0,[],1196,10,1,,0.3609431297518313,1.0
0,[],10644,284,1,,3.246702542062849,1.0
0,[],2176,78,1,,0.4796303962357342,1.0
0,[],982,55,1,,0.2156012267805636,1.0
0,[],1771,49,1,,0.446853734087199,1.0
0,[],8603,288,1,,2.4355980749242008,1.0
0,[],4200,109,1,,2.4413078711368144,1.0
0,[],4714,118,1,,1.4238969702273607,1.0
0,[],11534,234,1,,2.7787121213041246,1.0
0,[],3898,69,1,,1.0509183648973703,1.0
0,[],1053,30,1,,0.2345737568102777,1.0
0,[],10298,212,1,,2.266941706184298,1.0
0,[],1032,86,1,,0.3216428593732416,1.0
0,[],7764,184,1,,2.1957609481178224,1.0
0,[],13095,287,1,,3.896335659082979,1.0
0,[],545,2,1,,0.31472431961447,1.0
0,[],11257,296,1,,3.964205835945904,1.0
0,[],8379,235,1,,2.005773259326816,1.0
0,[],3914,68,1,,0.9266118090599776,1.0
0,[],18864,239,1,,6.1363650830462575,1.0
0,[],1934,72,1,,0.3304038140922785,1.0
0,[],6347,135,1,,1.2093679658137262,1.0
0,[],8691,256,1,,2.608498303219676,1.0
0,[],4405,137,1,,1.1919893329031763,1.0
0,[],8290,257,1,,2.786109669134021,1.0
0,[],5181,163,1,,1.552008714992553,1.0
0,[],8655,295,1,,2.561700393911451,1.0
0,[],2539,82,1,,0.6465361141599715,1.0
0,[],4978,192,1,,1.4235084182582796,1.0
0,[],7363,153,1,,2.143090730998665,1.0
0,[],4513,132,1,,1.0426070750690997,1.0
0,[],10770,215,1,,3.217551030218601,1.0
0,[],6239,141,1,,1.450266039930284,1.0
0,[],1700,64,1,,0.4230676419101655,1.0
0,[],9203,275,1,,2.080919279251248,1.0
0,[],8457,206,1,,3.4837576439604163,1.0
0,[],591,24,1,,0.1586256478913128,1.0
0,[],9025,270,1,,2.4564882069826126,1.0
0,[],1853,29,1,,0.4057920789346099,1.0
0,[],7643,182,1,,1.763737349305302,1.0
0,[],7332,173,1,,1.9086206550709903,1.0
0,[],4119,104,1,,1.2116495231166482,1.0
0,[],648,63,1,,0.1977871200069785,1.0
0,[],8489,245,1,,2.327210139017552,1.0
0,[],5969,190,1,,1.7306612320244312,1.0
0,[],8052,248,1,,1.9370580012910068,1.0
0,[],5629,101,1,,2.041992846876383,1.0
0,[],3108,56,1,,0.6847941088490188,1.0
0,[],9175,291,1,,2.524222075007856,1.0
0,[],16841,255,1,,5.724836414214224,1.0
0,[],8172,209,1,,2.3622091389261186,1.0
0,[],4268,165,1,,0.9861697559244932,1.0
0,[],1743,29,1,,0.4828778076916933,1.0
0,[],6831,137,1,,2.363814595155418,1.0
0,[],5532,176,1,,2.1450933441519737,1.0
0,[],533,76,1,,0.162046511657536,1.0
0,[],5265,195,1,,1.5693382709287107,1.0
0,[],11348,236,1,,3.0701998341828585,1.0
0,[],9129,248,1,,2.903994840104133,1.0
0,[],11336,261,1,,2.8668194781057537,1.0
0,[],10557,289,1,,3.256619323045016,1.0
0,[],798,81,1,,0.1993488986045122,1.0
0,[],1270,70,1,,0.3698833370581269,1.0
0,[],2269,16,1,,0.555789589881897,1.0
0,[],3929,4,1,,1.0299482038244605,1.0
0,[],5382,129,1,,1.5814220043830574,1.0
0,[],5064,123,1,,1.3768840422853827,1.0
0,[],1549,74,1,,0.8705029147677124,1.0
0,[],1800,6,1,,0.554454202298075,1.0
0,[],10466,237,1,,4.139862775336951,1.0
0,[],8276,238,1,,2.459219750016928,1.0
0,[],2174,12,1,,0.5861707269214094,1.0
0,[],12659,259,1,,3.131795110180974,1.0
0,[],5279,132,1,,1.8248516051098704,1.0
0,[],10915,286,1,,3.145572741050273,1.0
0,[],5932,126,1,,1.7970096762292087,1.0
0,[],8102,298,1,,1.9371147607453167,1.0
0,[],3275,61,1,,0.831605785060674,1.0
0,[],833,73,1,,0.2014327608048916,1.0
0,[],5233,155,1,,1.2665858678519726,1.0
0,[],1319,39,1,,0.3591016731224954,1.0
0,[],9240,218,1,,2.347833320032805,1.0
0,[],1390,70,1,,0.3843553666956723,1.0
0,[],8122,210,1,,2.471992533188313,1.0
0,[],9452,235,1,,4.2881356361322105,1.0
0,[],12610,246,1,,3.5731866797432303,1.0
0,[],12254,259,1,,3.988355400972068,1.0
0,[],1009,60,1,,0.240638867020607,1.0
0,[],2646,0,1,,0.6382055534049869,1.0
0,[],8316,280,1,,2.351881821639836,1.0
0,[],8094,228,1,,2.012288815807551,1.0
0,[],885,11,1,,0.2011762438341975,1.0
0,[],7178,112,1,,1.963803199119866,1.0
0,[],8992,208,1,,2.377301977016032,1.0
0,[],526,90,1,,0.1517021297477185,1.0
0,[],849,83,1,,0.1922614746727049,1.0
0,[],13574,238,1,,4.039231069851667,1.0
0,[],1723,35,1,,0.575330613180995,1.0
0,[],737,79,1,,0.1930968472734093,1.0
0,[],6232,134,1,,1.6792854932136834,1.0
0,[],4140,140,1,,1.4747105170972643,1.0
0,[],9110,281,1,,2.3445092998445034,1.0
0,[],4728,199,1,,1.1936205537058413,1.0
0,[],9133,268,1,,2.226988470647484,1.0
0,[],4716,114,1,,1.3885683240368962,1.0
0,[],9821,275,1,,3.0917786830104887,1.0
0,[],4642,164,1,,1.195605262182653,1.0
0,[],9587,284,1,,4.079152014106512,1.0
0,[],2542,71,1,,0.6591943139210343,1.0
0,[],3790,40,1,,1.231156901922077,1.0
0,[],3924,99,1,,1.1044402061961591,1.0
0,[],4101,148,1,,1.0795771009288728,1.0
0,[],4580,194,1,,1.3504133210517466,1.0
0,[],4388,139,1,,1.1692104758694768,1.0
0,[],6006,145,1,,1.54316040687263,1.0
0,[],9910,223,1,,2.904168885666877,1.0
0,[],2047,75,1,,0.6230394653975964,1.0
0,[],703,9,1,,0.2418420049361884,1.0
0,[],4888,188,1,,2.528500684071332,1.0
0,[],4165,131,1,,1.5465436629019678,1.0
0,[],10686,272,1,,3.261911121662706,1.0
0,[],8128,298,1,,2.8757048547267914,1.0
0,[],4629,146,1,,1.4471507081761956,1.0
0,[],8208,286,1,,1.983204618096352,1.0
0,[],599,84,1,,0.1608060398139059,1.0
0,[],8304,292,1,,3.1033655698411167,1.0
0,[],5653,177,1,,1.835602955892682,1.0
0,[],5413,153,1,,2.0433614691719413,1.0
0,[],4312,152,1,,1.501592729240656,1.0
0,[],648,92,1,,0.1993589280173182,1.0
0,[],6068,196,1,,1.6524730259552598,1.0
0,[],880,75,1,,0.1614458668045699,1.0
0,[],8754,296,1,,3.127299779094756,1.0
0,[],535,68,1,,0.1531038749963045,1.0
0,[],1336,15,1,,0.3018986410461366,1.0
0,[],11089,204,1,,4.2361614177934825,1.0
0,[],5717,158,1,,1.6034252760000527,1.0
0,[],1468,88,1,,0.3002342311665416,1.0
0,[],5620,197,1,,1.5268387626856563,1.0
0,[],6390,117,1,,2.379084157757461,1.0
0,[],3804,82,1,,0.9693280500359832,1.0
0,[],4416,105,1,,1.6696819411590695,1.0
0,[],569,33,1,,0.1515210717916488,1.0
0,[],451,0,1,,0.1952247973531484,1.0
0,[],11016,293,1,,3.805411041714251,1.0
0,[],2042,53,1,,0.5054065533913672,1.0
0,[],8703,231,1,,2.745162372943014,1.0
0,[],3452,32,1,,0.8999944529496133,1.0
0,[],10510,234,1,,2.728144219145179,1.0
0,[],10896,244,1,,2.7905665123835206,1.0
0,[],4127,140,1,,0.9627323490567504,1.0
0,[],960,22,1,,0.2396818227134645,1.0
0,[],4434,116,1,,0.9288921132683754,1.0
0,[],2605,65,1,,0.5405823490582407,1.0
0,[],773,89,1,,0.2055981019511819,1.0
0,[],9893,211,1,,2.980782472062856,1.0
0,[],7328,107,1,,2.71411694213748,1.0
0,[],805,18,1,,0.1944025899283588,1.0
0,[],3894,20,1,,1.0705167050473392,1.0
0,[],8415,289,1,,2.7788585564121604,1.0
0,[],11922,274,1,,3.242868591099977,1.0
0,[],4433,144,1,,1.4942780290730298,1.0
0,[],12968,241,1,,3.049612356815487,1.0
0,[],1433,60,1,,0.4047170439735055,1.0
0,[],9014,250,1,,2.6315935868769884,1.0
0,[],8853,287,1,,2.500676336232573,1.0
0,[],8034,228,1,,1.9302802197635172,1.0
0,[],6404,100,1,,2.254841375164688,1.0
0,[],7135,167,1,,1.7070281733758748,1.0
0,[],516,54,1,,0.213577589020133,1.0
0,[],4061,193,1,,1.1768886079080405,1.0
0,[],653,46,1,,0.1657482990995049,1.0
0,[],772,93,1,,0.1542443102225661,1.0
0,[],4346,108,1,,1.4263063562102616,1.0
0,[],9563,264,1,,2.7213903600350022,1.0
0,[],11381,272,1,,2.64897363493219,1.0
0,[],8086,299,1,,1.9880958809517324,1.0
0,[],4012,179,1,,1.3289722627960143,1.0
0,[],6424,136,1,,1.6036229729652405,1.0
0,[],3762,83,1,,1.135121560189873,1.0
0,[],1623,80,1,,0.4745411723852157,1.0
0,[],7327,162,1,,2.000037394929677,1.0
0,[],2071,94,1,,0.5597402141429484,1.0
0,[],10316,265,1,,3.176158552058041,1.0
0,[],4740,180,1,,1.1638418920338154,1.0
0,[],9934,217,1,,2.910421404056251,1.0
0,[],7126,172,1,,2.310291923116893,1.0
0,[],15198,278,1,,4.1812189519405365,1.0
0,[],10845,231,1,,3.492594439070672,1.0
0,[],698,69,1,,0.2500640088692307,1.0
0,[],4522,103,1,,0.9192300708964468,1.0
0,[],3430,50,1,,0.8785898517817259,1.0
0,[],8069,209,1,,2.688021171838045,1.0
0,[],5727,149,1,,2.0686295572668314,1.0
0,[],5167,124,1,,2.0489537809044123,1.0
0,[],7406,128,1,,2.4943901519291103,1.0
0,[],6656,165,1,,1.7511175381951034,1.0
0,[],4956,185,1,,1.6142685199156404,1.0
0,[],9108,227,1,,2.860631881281733,1.0
0,[],10923,291,1,,2.5672516599297523,1.0
0,[],13691,247,1,,3.932511507999152,1.0
0,[],9989,290,1,,2.4119085990823805,1.0
0,[],9234,249,1,,3.223277776967734,1.0
0,[],4410,143,1,,1.139640129171312,1.0
0,[],8371,251,1,,2.780776401050389,1.0
0,[],8881,252,1,,2.570963433943689,1.0
0,[],11914,250,1,,4.020877560134977,1.0
0,[],4527,114,1,,1.1250280989333987,1.0
0,[],8608,203,1,,2.7832958418875933,1.0
0,[],7755,141,1,,2.3301698807626963,1.0
0,[],1547,38,1,,0.4383485508151352,1.0
0,[],511,7,1,,0.1459244159050285,1.0
0,[],10496,221,1,,3.699049440678209,1.0
0,[],1426,19,1,,0.3734775930643081,1.0
0,[],4288,172,1,,0.870627443306148,1.0
0,[],6183,151,1,,1.9396653939038515,1.0
0,[],3890,56,1,,2.1656925650313497,1.0
0,[],2012,1,1,,0.6687675872817636,1.0
0,[],3710,36,1,,0.8712438298389316,1.0
0,[],1774,22,1,,0.5564333316870034,1.0
0,[],4300,150,1,,1.257275697775185,1.0
0,[],2166,10,1,,0.558804914355278,1.0
0,[],1562,44,1,,0.4783415007404983,1.0
0,[],1374,49,1,,0.4202200141735375,1.0
0,[],783,25,1,,0.1856811856850981,1.0
0,[],7114,142,1,,2.3080330188386142,1.0
0,[],8136,220,1,,1.9380992879159749,1.0
0,[],4579,183,1,,1.589650460984558,1.0
0,[],9998,240,1,,3.720548776909709,1.0
0,[],386,42,1,,0.2256788718514144,1.0
0,[],20316,261,1,,6.182908938731998,1.0
0,[],4523,116,1,,1.065467769745737,1.0
0,[],6924,108,1,,2.3327191839925945,1.0
0,[],9441,277,1,,3.666086711920798,1.0
0,[],9272,269,1,,3.4539922391995788,1.0
0,[],3764,81,1,,1.0469587086699903,1.0
0,[],5131,111,1,,1.1036023572087288,1.0
0,[],5328,154,1,,2.179263358004391,1.0
0,[],4122,126,1,,1.079730574041605,1.0
0,[],2640,9,1,,0.6932685701176524,1.0
0,[],8189,219,1,,2.150590293109417,1.0
0,[],6686,145,1,,1.7664216281846166,1.0
0,[],5620,174,1,,1.603026478085667,1.0
0,[],795,31,1,,0.2161211702041328,1.0
0,[],5074,113,1,,1.330155988689512,1.0
