Token Number,Rates,length,index_in_dataset,occurrence_number,device
0,[],7032,147,1,
16929,[1.],12783,2,2,disk
3352,[1.],2223,22,2,disk
8288,[1.],6029,120,2,disk
5628,[1.],3980,174,2,disk
0,[],936,69,1,
0,[],11070,123,1,
25467,[1.],20271,89,2,disk
9364,[1.],6395,48,2,disk
0,[],3917,96,1,
0,[],3878,143,1,
0,[],4757,126,1,
0,[],10251,97,1,
12581,[1.],9188,46,2,disk
7586,[1.],5133,118,2,disk
7918,[1.],5308,108,2,disk
0,[],7230,122,1,
0,[],6914,144,1,
0,[],4803,23,1,
0,[],6961,38,1,
0,[],9918,37,1,
0,[],6236,68,1,
8549,[1.],5832,73,2,disk
8266,[1.],5571,78,2,disk
0,[],7807,182,1,
11632,[1.],7843,45,2,disk
0,[],6790,67,1,
10759,[1.],7209,172,2,disk
11724,[1.],7940,101,2,disk
0,[],5523,198,1,
10148,[1.],6956,188,2,disk
13474,[1.],9076,152,2,disk
5633,[1.],3984,152,2,disk
15716,[1.],11178,169,2,disk
0,[],8194,124,1,
4725,[1.],3237,75,2,disk
0,[],8984,117,1,
0,[],19653,19,1,
8433,[1.],5623,3,2,disk
0,[],9352,195,1,
0,[],3931,125,1,
2517,[1.],1691,66,2,disk
0,[],6607,146,1,
14296,[1.],9574,5,2,disk
0,[],2227,86,1,
0,[],12339,171,1,
8511,[1.],5874,63,2,disk
2660,[1.],1703,90,2,disk
18473,[1.],14014,180,2,disk
0,[],14011,140,1,
0,[],13869,136,1,
5753,[1.],3916,110,2,disk
0,[],9196,137,1,
10143,[1.],6952,114,2,disk
0,[],8191,154,1,
16931,[1.],12785,20,2,disk
0,[],7870,134,1,
0,[],4765,102,1,
16194,[1.],12328,50,2,disk
0,[],3938,183,1,
13065,[1.],10510,33,2,disk
0,[],10667,3,1,
0,[],6397,83,1,
8175,[1.],5993,74,2,disk
14458,[1.],9666,18,2,disk
0,[],7338,11,1,
16209,[1.],12340,39,2,disk
11319,[1.],8192,173,2,disk
0,[],10509,82,1,
0,[],1322,129,1,
16636,[1.],11240,7,2,disk
0,[],8423,38,1,
0,[],6582,11,1,
0,[],15408,125,1,
25467,[1.],20271,155,2,disk
0,[],7941,185,1,
15710,[1.],11171,129,3,disk
0,[],9368,22,1,
0,[],5696,112,1,
11312,[1.],8187,9,3,disk
0,[],3022,179,1,
14723,[1.],10071,180,2,disk
9245,[1.],6247,93,3,disk
0,[],14016,127,1,
0,[],10663,99,1,
4828,[1.],3170,19,2,disk
0,[],11695,117,1,
0,[],9196,168,1,
9356,[1.],6385,191,3,disk
13412,[1.],8565,92,2,disk
9393,[1.],6275,153,2,disk
0,[],19654,77,1,
3159,[1.],2110,72,3,disk
10956,[1.],8488,47,2,disk
0,[],9182,184,1,
0,[],20273,87,1,
6673,[1.],4802,187,2,disk
8172,[1.],5990,101,2,disk
0,[],6954,162,1,
3224,[1.],2154,17,2,disk
13054,[1.],9377,176,3,disk
3122,[1.],2113,9,3,disk
18647,[1.],15412,185,3,disk
0,[],9891,164,1,
0,[],7046,154,1,
0,[],2027,136,1,
3038,[1.],2017,104,3,disk
4571,[1.],3141,16,2,disk
0,[],6394,53,1,
0,[],10784,199,1,
13752,[1.],9070,132,3,disk
13066,[1.],10512,78,3,disk
4212,[1.],2808,175,2,disk
15900,[1.],11886,10,3,disk
0,[],11366,197,1,
3694,[1.],2448,60,2,disk
9913,[1.],6750,15,3,disk
9414,[1.],6253,131,2,disk
0,[],6037,192,1,
0,[],8984,2,1,
0,[],12646,4,1,
10066,[1.],7338,195,3,disk
8167,[1.],5985,149,2,disk
25477,[1.],20279,81,2,disk
0,[],2148,115,1,
11263,[1.],7511,167,2,disk
6786,[1.],5341,132,2,disk
0,[],12342,34,1,
12939,[1.],8729,84,3,disk
7100,[1.],4847,42,3,disk
2523,[1.],1652,137,2,disk
0,[],12786,37,1,
0,[],6884,26,1,
10070,[1.],7344,66,3,disk
30494,[1.],24585,186,2,disk
0,[],4873,120,1,
0,[],9381,24,1,
0,[],14016,157,1,
10146,[1.],6955,85,2,disk
0,[],20271,160,1,
10590,[1.],7136,145,2,disk
10959,[1.],8491,147,2,disk
6222,[1.],4162,114,3,disk
15755,[1.],10618,126,3,disk
17798,[1.],13885,32,3,disk
11739,[1.],7781,94,3,disk
9366,[1.],6398,181,3,disk
15900,[1.],11886,97,2,disk
6468,[1.],4339,119,2,disk
12226,[1.],8341,157,2,disk
0,[],12339,178,1,
16525,[1.],11138,56,3,disk
0,[],8556,150,1,
0,[],10665,179,1,
0,[],9769,127,1,
13045,[1.],9366,111,2,disk
16194,[1.],12329,31,3,disk
0,[],20275,189,1,
0,[],4173,83,1,
0,[],6733,74,1,
0,[],12184,29,1,
0,[],10208,122,1,
15401,[1.],11310,161,3,disk
0,[],5587,107,1,
15410,[1.],10434,79,2,disk
17799,[1.],13887,45,2,disk
16198,[1.],12335,71,3,disk
18640,[1.],15403,80,3,disk
10953,[1.],8483,61,3,disk
0,[],7341,49,1,
5960,[1.],3928,113,3,disk
15716,[1.],11176,151,2,disk
7003,[1.],4694,109,2,disk
10958,[1.],8486,105,2,disk
10149,[1.],6960,58,2,disk
11844,[1.],8082,196,2,disk
9542,[1.],6406,0,3,disk
0,[],6026,96,1,
14003,[1.],9481,24,2,disk
5338,[1.],3613,177,2,disk
18644,[1.],15409,196,3,disk
0,[],8528,133,1,
0,[],3239,44,1,
5131,[1.],3380,139,2,disk
0,[],2858,184,1,
8289,[1.],6031,75,2,disk
12735,[1.],8726,111,2,disk
0,[],10506,90,1,
8171,[1.],5989,65,2,disk
13403,[1.],8554,25,3,disk
14713,[1.],10032,141,3,disk
10065,[1.],7337,29,2,disk
2149,[1.],1415,57,3,disk
0,[],3980,167,1,
15984,[1.],10777,59,2,disk
0,[],8314,44,1,
8756,[1.],6053,193,3,disk
13910,[1.],9366,33,3,disk
15711,[1.],11172,142,3,disk
3385,[1.],2292,116,3,disk
0,[],9352,65,1,
3029,[1.],1918,165,2,disk
5624,[1.],3974,91,2,disk
6020,[1.],4754,86,2,disk
13075,[1.],10516,84,2,disk
13736,[1.],9356,77,3,disk
13053,[1.],9375,68,3,disk
0,[],2519,85,1,
6678,[1.],4809,163,2,disk
0,[],1789,42,1,
0,[],10326,186,1,
30049,[1.],23788,133,2,disk
12994,[1.],8710,36,2,disk
17794,[1.],13883,18,2,disk
0,[],2904,159,1,
0,[],3507,12,1,
17016,[1.],12803,107,2,disk
17778,[1.],13866,62,3,disk
3237,[1.],2161,103,2,disk
4835,[1.],3276,25,3,disk
14122,[1.],9464,76,3,disk
0,[],9804,35,1,
1841,[1.],1198,194,2,disk
9919,[1.],6608,10,2,disk
17010,[1.],12797,28,2,disk
15001,[1.],10231,173,3,disk
30489,[1.],24580,182,3,disk
17041,[1.],11799,148,3,disk
0,[],6465,28,1,
5527,[1.],3776,30,3,disk
13053,[1.],10497,55,3,disk
12789,[1.],10213,175,2,disk
8062,[1.],5492,192,2,disk
16774,[1.],11372,6,2,disk
17796,[1.],13883,198,2,disk
0,[],3375,142,1,
0,[],9980,170,1,
4006,[1.],2756,39,3,disk
7515,[1.],5004,158,3,disk
12780,[1.],10201,194,3,disk
2752,[1.],1820,150,2,disk
0,[],12644,118,1,
0,[],8563,72,1,
10551,[1.],7165,55,3,disk
0,[],8563,21,1,
13407,[1.],8560,116,2,disk
0,[],12252,95,1,
5927,[1.],3917,96,2,disk
16932,[1.],12786,94,3,disk
0,[],10130,51,1,
10430,[1.],7032,147,2,disk
0,[],10511,98,1,
12587,[1.],9196,137,2,disk
16706,[1.],11405,81,2,disk
0,[],3976,40,1,
26198,[1.],19653,19,2,disk
6024,[1.],4757,126,2,disk
2942,[1.],1909,155,2,disk
11041,[1.],7481,70,3,disk
0,[],11315,104,1,
13409,[1.],8560,121,3,disk
0,[],1220,41,1,
0,[],10898,178,1,
8549,[1.],5832,73,3,disk
0,[],8183,110,1,
16929,[1.],12783,2,3,disk
12117,[1.],8345,89,2,disk
9226,[1.],6236,68,2,disk
30043,[1.],23784,135,3,disk
6794,[1.],5349,153,2,disk
10654,[1.],7230,122,2,disk
11632,[1.],7843,45,3,disk
0,[],15409,6,1,
3352,[1.],2223,22,3,disk
0,[],3242,131,1,
0,[],10675,54,1,
4229,[1.],2757,181,3,disk
